"ID","date","days","height","height_raw"
"ID_1",2015-12-18,101,19,19
"ID_1",2016-01-20,134,41,41
"ID_1",2016-02-17,162,127,127
"ID_1",2016-03-16,190,172,172
"ID_1",2016-05-13,248,221,221
"ID_10",2015-12-18,101,20,20
"ID_10",2016-01-20,134,37,37
"ID_10",2016-02-17,162,102,102
"ID_10",2016-03-16,190,158,158
"ID_10",2016-05-13,248,194,194
"ID_100",2015-12-18,101,14,14
"ID_100",2016-01-20,134,42,42
"ID_100",2016-02-17,162,110,110
"ID_100",2016-03-16,190,150,150
"ID_100",2016-05-13,248,154,154
"ID_101",2015-12-18,101,18,18
"ID_101",2016-01-20,134,57,57
"ID_101",2016-02-17,162,146,146
"ID_101",2016-03-16,190,147,147
"ID_101",2016-05-13,248,158,158
"ID_102",2015-12-18,101,11,11
"ID_102",2016-01-20,134,69,69
"ID_102",2016-02-17,162,81,81
"ID_102",2016-03-16,190,143,143
"ID_102",2016-05-13,248,143,143
"ID_103",2015-12-18,101,13,13
"ID_103",2016-01-20,134,81,81
"ID_103",2016-02-17,162,113,113
"ID_103",2016-03-16,190,130,130
"ID_103",2016-05-13,248,152,152
"ID_104",2015-12-18,101,14,14
"ID_104",2016-01-20,134,40,40
"ID_104",2016-02-17,162,110,110
"ID_104",2016-03-16,190,143,143
"ID_104",2016-05-13,248,192,192
"ID_105",2015-12-18,101,24,24
"ID_105",2016-01-20,134,46,46
"ID_105",2016-02-17,162,102,102
"ID_105",2016-03-16,190,152,152
"ID_105",2016-05-13,248,196,196
"ID_106",2015-12-18,101,14,14
"ID_106",2016-01-20,134,38,38
"ID_106",2016-02-17,162,93,93
"ID_106",2016-03-16,190,138,138
"ID_106",2016-05-13,248,162,162
"ID_107",2015-12-18,101,15,15
"ID_107",2016-01-20,134,34,34
"ID_107",2016-02-17,162,54,54
"ID_107",2016-03-16,190,140,140
"ID_107",2016-05-13,248,214,214
"ID_109",2015-12-18,101,17,17
"ID_109",2016-01-20,134,45,45
"ID_109",2016-02-17,162,92,92
"ID_109",2016-03-16,190,125,125
"ID_109",2016-05-13,248,181,181
"ID_111",2015-12-18,101,19,19
"ID_111",2016-01-20,134,40,40
"ID_111",2016-02-17,162,107,107
"ID_111",2016-03-16,190,137,137
"ID_111",2016-05-13,248,173,173
"ID_112",2015-12-18,101,15,15
"ID_112",2016-01-20,134,52,52
"ID_112",2016-02-17,162,130,130
"ID_112",2016-03-16,190,136,136
"ID_112",2016-05-13,248,181,181
"ID_113",2015-12-18,101,13,13
"ID_113",2016-01-20,134,58,58
"ID_113",2016-02-17,162,120,120
"ID_113",2016-03-16,190,175,175
"ID_113",2016-05-13,248,211,211
"ID_114",2015-12-18,101,18,18
"ID_114",2016-01-20,134,49,49
"ID_114",2016-02-17,162,125,125
"ID_114",2016-03-16,190,132,132
"ID_114",2016-05-13,248,202,202
"ID_116",2015-12-18,101,24,24
"ID_116",2016-01-20,134,39,39
"ID_116",2016-02-17,162,104,104
"ID_116",2016-03-16,190,140,140
"ID_116",2016-05-13,248,159,159
"ID_117",2015-12-18,101,22,22
"ID_117",2016-01-20,134,41,41
"ID_117",2016-02-17,162,43,43
"ID_117",2016-03-16,190,85,85
"ID_117",2016-05-13,248,160,160
"ID_118",2015-12-18,101,15,15
"ID_118",2016-01-20,134,40,40
"ID_118",2016-02-17,162,89,89
"ID_118",2016-03-16,190,124,124
"ID_118",2016-05-13,248,172,172
"ID_119",2015-12-18,101,16,16
"ID_119",2016-01-20,134,38,38
"ID_119",2016-02-17,162,39,39
"ID_119",2016-03-16,190,92,92
"ID_119",2016-05-13,248,130,130
"ID_12",2015-12-18,101,20,20
"ID_12",2016-01-20,134,44,44
"ID_12",2016-02-17,162,114,114
"ID_12",2016-03-16,190,151,151
"ID_12",2016-05-13,248,187,187
"ID_120",2015-12-18,101,26,26
"ID_120",2016-01-20,134,56,56
"ID_120",2016-02-17,162,110,110
"ID_120",2016-03-16,190,190,190
"ID_120",2016-05-13,248,190,140
"ID_121",2015-12-18,101,16,16
"ID_121",2016-01-20,134,28,28
"ID_121",2016-02-17,162,57,57
"ID_121",2016-03-16,190,114,114
"ID_121",2016-05-13,248,124,124
"ID_122",2015-12-18,101,14,14
"ID_122",2016-01-20,134,38,38
"ID_122",2016-02-17,162,63,63
"ID_122",2016-03-16,190,140,140
"ID_122",2016-05-13,248,188,188
"ID_123",2015-12-18,101,22,22
"ID_123",2016-01-20,134,43,43
"ID_123",2016-02-17,162,110,110
"ID_123",2016-03-16,190,135,135
"ID_123",2016-05-13,248,170,170
"ID_124",2015-12-18,101,10,10
"ID_124",2016-01-20,134,38,38
"ID_124",2016-02-17,162,84,84
"ID_124",2016-03-16,190,119,119
"ID_124",2016-05-13,248,150,150
"ID_125",2015-12-18,101,13,13
"ID_125",2016-01-20,134,28,28
"ID_125",2016-02-17,162,71,71
"ID_125",2016-03-16,190,90,90
"ID_125",2016-05-13,248,120,120
"ID_126",2015-12-18,101,18,18
"ID_126",2016-01-20,134,42,42
"ID_126",2016-02-17,162,86,86
"ID_126",2016-03-16,190,112,112
"ID_126",2016-05-13,248,140,140
"ID_127",2015-12-18,101,20,20
"ID_127",2016-01-20,134,35,35
"ID_127",2016-02-17,162,105,105
"ID_127",2016-03-16,190,143,143
"ID_127",2016-05-13,248,194,194
"ID_128",2015-12-18,101,8,8
"ID_128",2016-01-20,134,22,22
"ID_128",2016-02-17,162,43,43
"ID_128",2016-03-16,190,121,121
"ID_128",2016-05-13,248,160,160
"ID_129",2015-12-18,101,8,8
"ID_129",2016-01-20,134,22,22
"ID_129",2016-02-17,162,25,25
"ID_129",2016-03-16,190,83,83
"ID_129",2016-05-13,248,120,120
"ID_13",2015-12-18,101,11,11
"ID_13",2016-01-20,134,41,41
"ID_13",2016-02-17,162,134,134
"ID_13",2016-03-16,190,145,145
"ID_13",2016-05-13,248,159,159
"ID_130",2015-12-18,101,36,36
"ID_130",2016-01-20,134,58,58
"ID_130",2016-02-17,162,127,127
"ID_130",2016-03-16,190,142,142
"ID_130",2016-05-13,248,164,164
"ID_132",2015-12-18,101,22,22
"ID_132",2016-01-20,134,52,52
"ID_132",2016-02-17,162,88,88
"ID_132",2016-03-16,190,134,134
"ID_132",2016-05-13,248,154,154
"ID_133",2015-12-18,101,29,29
"ID_133",2016-01-20,134,35,35
"ID_133",2016-02-17,162,91,91
"ID_133",2016-03-16,190,137,137
"ID_133",2016-05-13,248,215,215
"ID_134",2015-12-18,101,21,21
"ID_134",2016-01-20,134,36,36
"ID_134",2016-02-17,162,110,110
"ID_134",2016-03-16,190,121,121
"ID_134",2016-05-13,248,130,130
"ID_135",2015-12-18,101,21,21
"ID_135",2016-01-20,134,52,52
"ID_135",2016-02-17,162,62,62
"ID_135",2016-03-16,190,137,137
"ID_135",2016-05-13,248,192,192
"ID_136",2015-12-18,101,24,24
"ID_136",2016-01-20,134,44,44
"ID_136",2016-02-17,162,133,133
"ID_136",2016-03-16,190,169,169
"ID_136",2016-05-13,248,200,200
"ID_137",2015-12-18,101,52,52
"ID_137",2016-01-20,134,95,95
"ID_137",2016-02-17,162,113,91
"ID_137",2016-03-16,190,131,131
"ID_137",2016-05-13,248,173,173
"ID_138",2015-12-18,101,29,29
"ID_138",2016-01-20,134,45,45
"ID_138",2016-02-17,162,135,135
"ID_138",2016-03-16,190,145,145
"ID_138",2016-05-13,248,175,175
"ID_139",2015-12-18,101,19,19
"ID_139",2016-01-20,134,40,40
"ID_139",2016-02-17,162,94,94
"ID_139",2016-03-16,190,115,115
"ID_139",2016-05-13,248,155,155
"ID_14",2015-12-18,101,18,18
"ID_14",2016-01-20,134,35,35
"ID_14",2016-02-17,162,59,59
"ID_14",2016-03-16,190,166,166
"ID_14",2016-05-13,248,175,175
"ID_142",2015-12-18,101,24,24
"ID_142",2016-01-20,134,58,58
"ID_142",2016-02-17,162,104,104
"ID_142",2016-03-16,190,135,135
"ID_142",2016-05-13,248,141,141
"ID_143",2015-12-18,101,25,25
"ID_143",2016-01-20,134,113,113
"ID_143",2016-02-17,162,153,153
"ID_143",2016-03-16,190,161,140
"ID_143",2016-05-13,248,179,179
"ID_144",2015-12-18,101,20,20
"ID_144",2016-01-20,134,38,38
"ID_144",2016-02-17,162,153,153
"ID_144",2016-03-16,190,153,150
"ID_144",2016-05-13,248,153,76
"ID_147",2015-12-18,101,15,15
"ID_147",2016-01-20,134,44,44
"ID_147",2016-02-17,162,128,128
"ID_147",2016-03-16,190,138,127
"ID_147",2016-05-13,248,159,159
"ID_148",2015-12-18,101,17,17
"ID_148",2016-01-20,134,23,23
"ID_148",2016-02-17,162,110,110
"ID_148",2016-03-16,190,142,142
"ID_148",2016-05-13,248,155,155
"ID_15",2015-12-18,101,15,15
"ID_15",2016-01-20,134,46,46
"ID_15",2016-02-17,162,57,57
"ID_15",2016-03-16,190,145,145
"ID_15",2016-05-13,248,198,198
"ID_152",2015-12-18,101,16,16
"ID_152",2016-01-20,134,55,55
"ID_152",2016-02-17,162,131,131
"ID_152",2016-03-16,190,163,163
"ID_152",2016-05-13,248,205,205
"ID_153",2015-12-18,101,22,22
"ID_153",2016-01-20,134,40,40
"ID_153",2016-02-17,162,130,130
"ID_153",2016-03-16,190,152,129
"ID_153",2016-05-13,248,198,198
"ID_154",2015-12-18,101,15,15
"ID_154",2016-01-20,134,48,48
"ID_154",2016-02-17,162,60,60
"ID_154",2016-03-16,190,99,99
"ID_154",2016-05-13,248,106,106
"ID_155",2015-12-18,101,17,17
"ID_155",2016-01-20,134,48,48
"ID_155",2016-02-17,162,128,128
"ID_155",2016-03-16,190,145,145
"ID_155",2016-05-13,248,178,178
"ID_156",2015-12-18,101,21,21
"ID_156",2016-01-20,134,48,48
"ID_156",2016-02-17,162,109,109
"ID_156",2016-03-16,190,130,130
"ID_156",2016-05-13,248,180,180
"ID_157",2015-12-18,101,15,15
"ID_157",2016-01-20,134,46,46
"ID_157",2016-02-17,162,79,79
"ID_157",2016-03-16,190,116,116
"ID_157",2016-05-13,248,155,155
"ID_158",2015-12-18,101,22,22
"ID_158",2016-01-20,134,44,44
"ID_158",2016-02-17,162,140,140
"ID_158",2016-03-16,190,150,150
"ID_158",2016-05-13,248,196,196
"ID_16",2015-12-18,101,16,16
"ID_16",2016-01-20,134,39,39
"ID_16",2016-02-17,162,100,100
"ID_16",2016-03-16,190,160,160
"ID_16",2016-05-13,248,187,187
"ID_160",2015-12-18,101,17,17
"ID_160",2016-01-20,134,42,42
"ID_160",2016-02-17,162,145,145
"ID_160",2016-03-16,190,164,138
"ID_160",2016-05-13,248,202,202
"ID_161",2015-12-18,101,9,9
"ID_161",2016-01-20,134,44,44
"ID_161",2016-02-17,162,102,40
"ID_161",2016-03-16,190,160,160
"ID_161",2016-05-13,248,176,176
"ID_163",2015-12-18,101,12,12
"ID_163",2016-01-20,134,49,49
"ID_163",2016-02-17,162,115,115
"ID_163",2016-03-16,190,149,149
"ID_163",2016-05-13,248,167,167
"ID_165",2015-12-18,101,15,15
"ID_165",2016-01-20,134,50,50
"ID_165",2016-02-17,162,73,73
"ID_165",2016-03-16,190,127,127
"ID_165",2016-05-13,248,174,174
"ID_166",2015-12-18,101,22,22
"ID_166",2016-01-20,134,64,64
"ID_166",2016-02-17,162,152,152
"ID_166",2016-03-16,190,160,160
"ID_166",2016-05-13,248,168,168
"ID_169",2015-12-18,101,8,8
"ID_169",2016-01-20,134,49,49
"ID_169",2016-02-17,162,107,107
"ID_169",2016-03-16,190,115,115
"ID_169",2016-05-13,248,150,150
"ID_17",2015-12-18,101,20,20
"ID_17",2016-01-20,134,58,58
"ID_17",2016-02-17,162,134,134
"ID_17",2016-03-16,190,154,154
"ID_17",2016-05-13,248,187,187
"ID_170",2015-12-18,101,24,24
"ID_170",2016-01-20,134,46,46
"ID_170",2016-02-17,162,106,106
"ID_170",2016-03-16,190,137,137
"ID_170",2016-05-13,248,166,166
"ID_171",2015-12-18,101,18,18
"ID_171",2016-01-20,134,39,39
"ID_171",2016-02-17,162,129,129
"ID_171",2016-03-16,190,144,144
"ID_171",2016-05-13,248,164,164
"ID_172",2015-12-18,101,20,20
"ID_172",2016-01-20,134,41,41
"ID_172",2016-02-17,162,110,110
"ID_172",2016-03-16,190,145,145
"ID_172",2016-05-13,248,153,153
"ID_174",2015-12-18,101,16,16
"ID_174",2016-01-20,134,36,36
"ID_174",2016-02-17,162,119,119
"ID_174",2016-03-16,190,138,138
"ID_174",2016-05-13,248,157,157
"ID_175",2015-12-18,101,9,9
"ID_175",2016-01-20,134,46,46
"ID_175",2016-02-17,162,120,120
"ID_175",2016-03-16,190,125,125
"ID_175",2016-05-13,248,157,157
"ID_176",2015-12-18,101,9,9
"ID_176",2016-01-20,134,44,44
"ID_176",2016-02-17,162,133,133
"ID_176",2016-03-16,190,138,130
"ID_176",2016-05-13,248,149,149
"ID_177",2015-12-18,101,17,17
"ID_177",2016-01-20,134,28,28
"ID_177",2016-02-17,162,60,60
"ID_177",2016-03-16,190,128,128
"ID_177",2016-05-13,248,154,154
"ID_18",2015-12-18,101,15,15
"ID_18",2016-01-20,134,32,32
"ID_18",2016-02-17,162,78,78
"ID_18",2016-03-16,190,149,149
"ID_18",2016-05-13,248,180,180
"ID_180",2015-12-18,101,11,11
"ID_180",2016-01-20,134,28,28
"ID_180",2016-02-17,162,50,50
"ID_180",2016-03-16,190,123,123
"ID_180",2016-05-13,248,125,125
"ID_181",2015-12-18,101,13,13
"ID_181",2016-01-20,134,60,60
"ID_181",2016-02-17,162,74,35
"ID_181",2016-03-16,190,89,89
"ID_181",2016-05-13,248,125,125
"ID_186",2015-12-18,101,14,14
"ID_186",2016-01-20,134,42,42
"ID_186",2016-02-17,162,109,109
"ID_186",2016-03-16,190,126,126
"ID_186",2016-05-13,248,144,144
"ID_189",2015-12-18,101,19,19
"ID_189",2016-01-20,134,46,46
"ID_189",2016-02-17,162,127,127
"ID_189",2016-03-16,190,158,158
"ID_189",2016-05-13,248,171,171
"ID_19",2015-12-18,101,10,10
"ID_19",2016-01-20,134,29,29
"ID_19",2016-02-17,162,132,132
"ID_19",2016-03-16,190,139,125
"ID_19",2016-05-13,248,153,153
"ID_191",2015-12-18,101,32,32
"ID_191",2016-01-20,134,94,27
"ID_191",2016-02-17,162,146,146
"ID_191",2016-03-16,190,194,194
"ID_191",2016-05-13,248,213,213
"ID_192",2015-12-18,101,20,20
"ID_192",2016-01-20,134,29,19
"ID_192",2016-02-17,162,37,37
"ID_192",2016-03-16,190,40,40
"ID_192",2016-05-13,248,73,73
"ID_197",2015-12-18,101,13,13
"ID_197",2016-01-20,134,42,42
"ID_197",2016-02-17,162,104,104
"ID_197",2016-03-16,190,118,118
"ID_197",2016-05-13,248,153,153
"ID_198",2015-12-18,101,11,11
"ID_198",2016-01-20,134,49,49
"ID_198",2016-02-17,162,54,54
"ID_198",2016-03-16,190,126,126
"ID_198",2016-05-13,248,135,135
"ID_199",2015-12-18,101,16,16
"ID_199",2016-01-20,134,47,47
"ID_199",2016-02-17,162,135,135
"ID_199",2016-03-16,190,150,150
"ID_199",2016-05-13,248,175,175
"ID_2",2015-12-18,101,21,21
"ID_2",2016-01-20,134,36,36
"ID_2",2016-02-17,162,136,136
"ID_2",2016-03-16,190,168,168
"ID_2",2016-05-13,248,212,212
"ID_20",2015-12-18,101,13,13
"ID_20",2016-01-20,134,41,41
"ID_20",2016-02-17,162,43,43
"ID_20",2016-03-16,190,176,176
